Season,Name,Team,PA,HR,RBI,AVG,SLG,NameASCII,PlayerId,MLBAMID
2019,"Christian Walker","ARI",603,29,73,0.258979206,0.47637051,"Christian Walker",13419,572233
2019,"Anthony Santander","BAL",405,20,59,0.260526315,0.476315789,"Anthony Santander",14551,623993
2016,"Sandy León","BOS",283,7,35,0.309523809,0.476190476,"Sandy Leon",5273,506702
2020,"Eddie Rosario","MIN",231,13,42,0.257142857,0.476190476,"Eddie Rosario",12155,592696
2023,"Nick Castellanos","PHI",671,29,106,0.271565495,0.476038338,"Nick Castellanos",11737,592206
2021,"Josh Bell","WSN",568,27,88,0.261044176,0.475903614,"Josh Bell",13145,605137
2016,"Neil Walker","NYM",458,23,55,0.281553398,0.475728155,"Neil Walker",7539,435522
2018,"Mark Reynolds","WSN",235,13,40,0.247572815,0.475728155,"Mark Reynolds",7619,448602
2019,"Paul Goldschmidt","STL",682,34,97,0.25963149,0.475711892,"Paul Goldschmidt",9218,502671
2020,"Chris Taylor","LAD",214,8,32,0.27027027,0.475675675,"Chris Taylor",13757,621035
2016,"Victor Martinez","DET",610,27,86,0.289330922,0.475587703,"Victor Martinez",393,400121
2019,"Yandy Díaz","TBR",347,14,38,0.267100977,0.475570032,"Yandy Diaz",16578,650490
2017,"Howie Kendrick","- - -",334,9,41,0.314754098,0.475409836,"Howie Kendrick",4229,435062
2019,"Alex Verdugo","LAD",377,12,44,0.294460641,0.475218658,"Alex Verdugo",17027,657077
2023,"Wander Franco","TBR",491,17,58,0.280542986,0.475113122,"Wander Franco",23667,677551
2023,"Max Muncy","LAD",579,36,105,0.211618257,0.475103734,"Max Muncy",13301,571970
2017,"Aaron Hicks","NYY",361,15,52,0.26578073,0.475083056,"Aaron Hicks",5297,543305
2016,"Justin Bour","MIA",321,15,51,0.264285714,0.475,"Justin Bour",9744,571506
2023,"Mike Ford","SEA",251,16,34,0.228310502,0.474885844,"Mike Ford",15585,645801
2021,"Josh Donaldson","MIN",543,26,72,0.24726477,0.474835886,"Josh Donaldson",5038,518626
2017,"Alex Bregman","HOU",626,19,71,0.284172661,0.474820143,"Alex Bregman",17678,608324
2023,"José Ramírez","CLE",691,24,80,0.281505728,0.474631751,"Jose Ramirez",13510,608070
2023,"Bo Bichette","TOR",601,20,73,0.306479859,0.474605954,"Bo Bichette",19612,666182
2015,"Colby Rasmus","HOU",485,25,61,0.238425925,0.474537037,"Colby Rasmus",9893,458675
2015,"Adam Jones","BAL",581,27,82,0.269230769,0.474358974,"Adam Jones",6368,430945
2018,"Corey Dickerson","PIT",533,13,55,0.299603174,0.474206349,"Corey Dickerson",10762,572816
2016,"Brandon Belt","SFG",655,17,82,0.274907749,0.474169741,"Brandon Belt",10264,474832
2016,"Asdrúbal Cabrera","NYM",568,23,62,0.280230326,0.474088291,"Asdrubal Cabrera",4962,452678
2018,"Edwin Encarnación","CLE",579,32,107,0.246,0.474,"Edwin Encarnacion",2151,429665
2023,"Danny Jansen","TOR",301,17,53,0.22761194,0.473880597,"Danny Jansen",16535,643376
2019,"Scott Kingery","PHI",500,19,55,0.257641921,0.473799126,"Scott Kingery",17975,664068
2023,"Kyle Schwarber","PHI",720,47,104,0.196581196,0.473504273,"Kyle Schwarber",16478,656941
2018,"Jake Cave","MIN",309,13,45,0.265017667,0.473498233,"Jake Cave",14477,595909
2019,"Jonathan Schoop","MIN",464,23,59,0.256351039,0.473441108,"Jonathan Schoop",11265,570731
2019,"Jesse Winker","CIN",384,16,38,0.269230769,0.473372781,"Jesse Winker",13590,608385
2017,"Matt Joyce","OAK",544,25,68,0.243070362,0.473347547,"Matt Joyce",3353,459964
2017,"Randal Grichuk","STL",442,22,59,0.237864077,0.47330097,"Randal Grichuk",10243,545341
2023,"Jason Heyward","LAD",377,15,40,0.269461077,0.473053892,"Jason Heyward",4940,518792
2018,"José Abreu","CHW",553,22,78,0.264529058,0.472945891,"Jose Abreu",15676,547989
2017,"Nick Williams","PHI",343,12,55,0.287539936,0.47284345,"Nick Williams",14330,608384
2021,"Danny Jansen","TOR",205,11,28,0.222826086,0.472826086,"Danny Jansen",16535,643376
2022,"Taylor Ward","LAA",564,23,65,0.28080808,0.472727272,"Taylor Ward",17548,621493
2019,"Teoscar Hernández","TOR",464,26,65,0.230215827,0.472422062,"Teoscar Hernandez",13066,606192
2017,"Matt Chapman","OAK",326,14,40,0.234482758,0.472413793,"Matt Chapman",16505,656305
2022,"Travis d'Arnaud","ATL",426,18,60,0.267676767,0.472222222,"Travis d'Arnaud",7739,518595
2019,"Marcell Ozuna","STL",549,29,89,0.241237113,0.472164948,"Marcell Ozuna",10324,542303
2023,"Anthony Santander","BAL",656,28,95,0.257191201,0.472081218,"Anthony Santander",14551,623993
2020,"Colin Moran","PIT",200,10,23,0.247191011,0.471910112,"Colin Moran",16909,592567
2017,"Jedd Gyorko","STL",481,20,67,0.272300469,0.471830985,"Jedd Gyorko",10816,576397
2021,"Eduardo Escobar","- - -",599,28,90,0.253187613,0.471766848,"Eduardo Escobar",6153,500871
2022,"George Springer","TOR",583,25,76,0.26705653,0.471734892,"George Springer",12856,543807
2021,"Trevor Story","COL",595,24,75,0.25095057,0.471482889,"Trevor Story",12564,596115
2017,"Manny Machado","BAL",690,33,95,0.258730158,0.471428571,"Manny Machado",11493,592518
2018,"David Freese","- - -",312,11,51,0.296428571,0.471428571,"David Freese",9549,501896
2016,"Matt Adams","STL",327,16,54,0.249158249,0.471380471,"Matt Adams",9393,571431
2023,"Kerry Carpenter","DET",459,20,64,0.277511961,0.471291866,"Kerry Carpenter",25961,681481
2023,"Jeimer Candelario","- - -",576,22,70,0.251485148,0.471287128,"Jeimer Candelario",13621,600869
2017,"Elvis Andrus","TEX",689,20,88,0.297045101,0.471228615,"Elvis Andrus",8709,462101
2015,"Freddie Freeman","ATL",481,18,66,0.276442307,0.471153846,"Freddie Freeman",5361,518692
2018,"Jeff McNeil","NYM",248,3,19,0.328888888,0.471111111,"Jeff McNeil",15362,643446
2018,"Robinson Canó","SEA",348,10,50,0.303225806,0.470967741,"Robinson Cano",3269,429664
2021,"Justin Turner","LAD",612,27,87,0.277673545,0.470919324,"Justin Turner",5235,457759
2019,"Austin Riley","ATL",297,18,49,0.226277372,0.470802919,"Austin Riley",18360,663586
2015,"Carlos Beltrán","NYY",531,19,67,0.276150627,0.470711297,"Carlos Beltran",589,136860
2017,"AJ Pollock","ARI",466,14,49,0.265882352,0.470588235,"AJ Pollock",9256,572041
2021,"Ryan Zimmerman","WSN",273,14,46,0.243137254,0.470588235,"Ryan Zimmerman",4220,475582
2015,"Buster Posey","SFG",623,19,95,0.317773788,0.470377019,"Buster Posey",9166,457763
2018,"Cody Bellinger","LAD",632,25,76,0.260323159,0.470377019,"Cody Bellinger",15998,641355
2021,"Brendan Rodgers","COL",415,15,51,0.284237726,0.470284237,"Brendan Rodgers",17907,663898
2018,"Enrique Hernández","LAD",462,21,52,0.256218905,0.470149253,"Enrique Hernandez",10472,571771
2023,"Francisco Lindor","NYM",687,31,98,0.254152823,0.470099667,"Francisco Lindor",12916,596019
2018,"Anthony Rizzo","CHC",665,25,101,0.282685512,0.469964664,"Anthony Rizzo",3473,519203
2015,"Mike Moustakas","KCR",614,22,82,0.284153005,0.469945355,"Mike Moustakas",4892,519058
2019,"Brian Goodwin","LAA",458,17,47,0.26150121,0.469733656,"Brian Goodwin",12858,571718
2020,"Eugenio Suárez","CIN",231,15,38,0.202020202,0.469696969,"Eugenio Suarez",12552,553993
2023,"Bo Naylor","CLE",230,11,32,0.237373737,0.469696969,"Bo Naylor",21865,666310
2015,"Justin Smoak","TOR",328,18,59,0.226351351,0.469594594,"Justin Smoak",9054,475253
2019,"C.J. Cron","MIN",499,25,78,0.253275109,0.469432314,"C.J. Cron",12546,543068
2022,"Bo Bichette","TOR",697,24,93,0.2898773,0.469325153,"Bo Bichette",19612,666182
2021,"Connor Joe","COL",211,8,35,0.284916201,0.469273743,"Connor Joe",16572,656582
2018,"Ryan Braun","MIL",447,20,64,0.254320987,0.469135802,"Ryan Braun",3410,460075
2015,"Pedro Alvarez","PIT",491,27,77,0.242562929,0.469107551,"Pedro Alvarez",2495,476883
2016,"Wilmer Flores","NYM",335,16,49,0.267100977,0.469055374,"Wilmer Flores",5827,527038
2016,"Jason Kipnis","CLE",688,23,82,0.275409836,0.468852459,"Jason Kipnis",9776,543401
2021,"Tim Anderson","CHW",551,17,61,0.309297912,0.468690702,"Tim Anderson",15172,641313
2023,"Luis Arraez","MIA",617,10,69,0.353658536,0.468641114,"Luis Arraez",18568,650333
2016,"Corey Dickerson","TBR",548,24,70,0.245098039,0.46862745,"Corey Dickerson",10762,572816
2017,"Brandon Belt","SFG",451,18,51,0.240837696,0.468586387,"Brandon Belt",10264,474832
2019,"Nomar Mazara","TEX",469,19,66,0.268065268,0.468531468,"Nomar Mazara",14553,608577
2018,"Teoscar Hernández","TOR",523,22,57,0.239495798,0.468487394,"Teoscar Hernandez",13066,606192
2018,"Michael Brantley","CLE",631,17,76,0.308771929,0.468421052,"Michael Brantley",4106,488726
2019,"Brian Anderson","MIA",520,20,66,0.261437908,0.468409586,"Brian Anderson",18289,605119
2019,"Kyle Seager","SEA",443,23,63,0.23918575,0.468193384,"Kyle Seager",9785,572122
2023,"Lane Thomas","WSN",682,28,86,0.267515923,0.468152866,"Lane Thomas",16939,657041
2016,"José Abreu","CHW",695,25,100,0.29326923,0.467948717,"Jose Abreu",15676,547989
2019,"Yasmani Grandal","MIL",632,28,77,0.245614035,0.467836257,"Yasmani Grandal",11368,518735
2022,"C.J. Cron","COL",632,29,102,0.257391304,0.467826086,"C.J. Cron",12546,543068
2022,"Starling Marte","NYM",505,16,63,0.291845493,0.467811158,"Starling Marte",9241,516782
2016,"Kendrys Morales","KCR",618,30,93,0.26344086,0.467741935,"Kendrys Morales",8610,434778
2022,"Jake Fraley","CIN",247,12,28,0.259259259,0.467592592,"Jake Fraley",19260,641584
2019,"AJ Pollock","LAD",342,15,47,0.266233766,0.467532467,"AJ Pollock",9256,572041
2022,"Carlos Correa","MIN",590,22,64,0.291187739,0.46743295,"Carlos Correa",14162,621043
2017,"Hunter Renfroe","SDP",479,26,58,0.231460674,0.46741573,"Hunter Renfroe",15464,592669
2019,"Kole Calhoun","LAA",632,33,74,0.231884057,0.467391304,"Kole Calhoun",11200,594777
2018,"Kyle Schwarber","CHC",510,26,61,0.238317757,0.467289719,"Kyle Schwarber",16478,656941
2023,"Willson Contreras","STL",495,20,67,0.264018691,0.467289719,"Willson Contreras",11609,575929
2015,"Nick Hundley","COL",389,10,43,0.300546448,0.467213114,"Nick Hundley",3376,460026
2023,"TJ Friedl","CIN",556,18,66,0.278688524,0.467213114,"TJ Friedl",19522,670770
2019,"Tyler Naquin","CLE",294,10,34,0.288321167,0.467153284,"Tyler Naquin",13359,571980
2016,"C.J. Cron","LAA",445,16,69,0.277641277,0.466830466,"C.J. Cron",12546,543068
2017,"Kyle Schwarber","CHC",486,30,59,0.210900473,0.466824644,"Kyle Schwarber",16478,656941
2016,"Yangervis Solarte","SDP",443,15,71,0.286419753,0.466666666,"Yangervis Solarte",5352,500208
2018,"Aaron Hicks","NYY",581,27,79,0.247916666,0.466666666,"Aaron Hicks",5297,543305
2019,"Aledmys Díaz","HOU",247,9,40,0.271428571,0.466666666,"Aledmys Diaz",15937,649557
2023,"Josh Jung","TEX",515,23,70,0.265690376,0.466527196,"Josh Jung",26299,673962
2018,"Carlos González","COL",504,16,64,0.276457883,0.466522678,"Carlos Gonzalez",7287,471865
2018,"Maikel Franco","PHI",465,22,68,0.270207852,0.466512702,"Maikel Franco",12179,596748
2022,"Andrés Giménez","CLE",557,17,69,0.297352342,0.466395112,"Andres Gimenez",19950,665926
2018,"Jorge Soler","KCR",257,9,28,0.264573991,0.466367713,"Jorge Soler",14221,624585
2022,"Willson Contreras","CHC",487,22,55,0.242788461,0.466346153,"Willson Contreras",11609,575929
2017,"Josh Bell","PIT",620,26,90,0.255009107,0.466302367,"Josh Bell",13145,605137
2022,"Trea Turner","LAD",708,21,100,0.297546012,0.466257668,"Trea Turner",16252,607208
2018,"Charlie Culberson","ATL",322,12,45,0.27027027,0.466216216,"Charlie Culberson",3298,518586
2023,"Brandon Nimmo","NYM",682,24,68,0.273648648,0.466216216,"Brandon Nimmo",12927,607043
2019,"Phillip Ervin","CIN",260,7,23,0.27118644,0.466101694,"Phillip Ervin",14738,640447
2021,"Lourdes Gurriel Jr.","TOR",541,21,84,0.276,0.466,"Lourdes Gurriel Jr.",19238,666971
2020,"Paul Goldschmidt","STL",231,6,21,0.303664921,0.465968586,"Paul Goldschmidt",9218,502671
2021,"Miguel Sanó","MIN",532,30,75,0.223404255,0.465957446,"Miguel Sano",12164,593934
2018,"Yasmani Grandal","LAD",518,24,68,0.24090909,0.46590909,"Yasmani Grandal",11368,518735
2017,"Adam Jones","BAL",635,26,73,0.284757118,0.465661641,"Adam Jones",6368,430945
2015,"Ryan Zimmerman","WSN",390,16,73,0.248554913,0.465317919,"Ryan Zimmerman",4220,475582
2022,"Salvador Perez","KCR",473,23,76,0.253932584,0.465168539,"Salvador Perez",7304,521692
2021,"Garrett Cooper","MIA",250,9,33,0.28372093,0.465116279,"Garrett Cooper",15279,643265
2020,"Brian Anderson","MIA",229,11,38,0.255,0.465,"Brian Anderson",18289,605119
2016,"Mike Napoli","CLE",645,34,101,0.238779174,0.464991023,"Mike Napoli",3057,435063
2016,"Justin Upton","DET",626,31,87,0.245614035,0.46491228,"Justin Upton",5222,457708
2015,"Rougned Odor","TEX",470,16,61,0.26056338,0.464788732,"Rougned Odor",12282,596059
2018,"Andrew Benintendi","BOS",661,16,87,0.29015544,0.464594127,"Andrew Benintendi",17901,643217
2022,"Will Smith","LAD",578,24,87,0.259842519,0.464566929,"Will Smith",19197,669257
2019,"Matt Adams","WSN",333,20,56,0.225806451,0.464516129,"Matt Adams",9393,571431
2021,"Elias Díaz","COL",371,18,44,0.24556213,0.464497041,"Elias Diaz",11680,553869
2016,"Todd Frazier","CHW",666,40,98,0.225423728,0.464406779,"Todd Frazier",785,453943
2016,"Curtis Granderson","NYM",633,30,59,0.236697247,0.464220183,"Curtis Granderson",4747,434158
2019,"Avisaíl García","TBR",530,20,72,0.282208588,0.464212678,"Avisail Garcia",5760,541645
2020,"Dansby Swanson","ATL",264,10,35,0.274261603,0.464135021,"Dansby Swanson",18314,621020
2023,"Spencer Steer","CIN",665,23,86,0.271477663,0.463917525,"Spencer Steer",26323,668715
2019,"Luke Voit","NYY",510,21,62,0.263403263,0.463869463,"Luke Voit",14811,572228
2017,"Wil Myers","SDP",649,30,74,0.243386243,0.463844797,"Wil Myers",10047,571976
2018,"Tommy Pham","- - -",570,21,63,0.275303643,0.463562753,"Tommy Pham",2967,502054
2017,"Matt Kemp","ATL",467,19,64,0.276255707,0.463470319,"Matt Kemp",5631,461314
2018,"Justin Upton","LAA",613,30,85,0.257035647,0.463414634,"Justin Upton",5222,457708
2019,"Mitch Haniger","SEA",283,15,32,0.219512195,0.463414634,"Mitch Haniger",14274,571745
2015,"Prince Fielder","TEX",693,23,98,0.305057096,0.463295269,"Prince Fielder",4613,425902
2016,"Matt Joyce","PIT",293,13,42,0.242424242,0.463203463,"Matt Joyce",3353,459964
2020,"Donovan Solano","SFG",203,3,29,0.326315789,0.463157894,"Donovan Solano",8623,456781
2015,"Shin-Soo Choo","TEX",653,22,82,0.275675675,0.463063063,"Shin-Soo Choo",3174,425783
2016,"Gregory Polanco","PIT",587,22,86,0.258064516,0.462998102,"Gregory Polanco",12907,570256
2015,"Evan Gattis","HOU",604,27,88,0.245583038,0.462897526,"Evan Gattis",11003,594828
2021,"Rafael Ortega","CHC",330,11,33,0.29054054,0.462837837,"Rafael Ortega",10323,542364
2023,"Lourdes Gurriel Jr.","ARI",592,24,82,0.261343012,0.462794918,"Lourdes Gurriel Jr.",19238,666971
2021,"Wander Franco","TBR",308,7,39,0.288256227,0.462633451,"Wander Franco",23667,677551
2021,"Sam Hilliard","COL",238,14,34,0.214953271,0.462616822,"Sam Hilliard",17954,656541
2019,"Whit Merrifield","KCR",735,16,74,0.302496328,0.462555066,"Whit Merrifield",11281,593160
2022,"Giancarlo Stanton","NYY",452,31,78,0.211055276,0.462311557,"Giancarlo Stanton",4949,519317
2021,"Yuli Gurriel","HOU",605,15,81,0.318867924,0.46226415,"Yuli Gurriel",19198,493329
2023,"Manny Machado","SDP",601,30,91,0.257826887,0.462246777,"Manny Machado",11493,592518
2016,"Miguel Sanó","MIN",495,25,66,0.23569794,0.462242562,"Miguel Sano",12164,593934
2019,"Derek Dietrich","CIN",306,19,43,0.187250996,0.462151394,"Derek Dietrich",10542,518618
2017,"Carlos Gómez","TEX",426,17,51,0.255434782,0.461956521,"Carlos Gomez",4881,460576
2016,"José Ramírez","CLE",618,11,76,0.311504424,0.461946902,"Jose Ramirez",13510,608070
2022,"Rhys Hoskins","PHI",672,30,79,0.246179966,0.46179966,"Rhys Hoskins",16472,656555
2019,"Chris Taylor","LAD",414,12,52,0.262295081,0.461748633,"Chris Taylor",13757,621035
2019,"Manny Machado","SDP",661,32,85,0.255536626,0.461669505,"Manny Machado",11493,592518
2015,"Brandon Crawford","SFG",561,21,84,0.256410256,0.461538461,"Brandon Crawford",5343,543063
2015,"Ben Paulsen","COL",354,11,49,0.276923076,0.461538461,"Ben Paulsen",9741,572019
2017,"Buster Posey","SFG",568,12,67,0.319838056,0.461538461,"Buster Posey",9166,457763
2020,"Kevin Pillar","- - -",223,6,26,0.288461538,0.461538461,"Kevin Pillar",12434,607680
2020,"Vladimir Guerrero Jr.","TOR",243,9,33,0.262443438,0.461538461,"Vladimir Guerrero Jr.",19611,665489
2022,"Oscar Gonzalez","CLE",382,11,43,0.29558011,0.461325966,"Oscar Gonzalez",20970,660757
2022,"Bryan Reynolds","PIT",614,27,62,0.261992619,0.461254612,"Bryan Reynolds",19326,668804
2022,"Rowdy Tellez","MIL",599,35,89,0.219281663,0.461247637,"Rowdy Tellez",15679,642133
2021,"Austin Hays","BAL",529,22,71,0.25614754,0.461065573,"Austin Hays",19363,669720
2023,"Freddy Fermin","KCR",235,9,32,0.28110599,0.460829493,"Freddy Fermin",21840,666023
2015,"Jung Ho Kang","PIT",467,15,58,0.287410926,0.4608076,"Jung Ho Kang",17182,628356
2016,"Wil Myers","SDP",676,28,94,0.258764607,0.460767946,"Wil Myers",10047,571976
2016,"Matt Holliday","STL",426,20,62,0.246073298,0.460732984,"Matt Holliday",1873,407812
2019,"David Peralta","ARI",423,12,57,0.274869109,0.460732984,"David Peralta",2136,444482
2017,"Eugenio Suárez","CIN",632,26,82,0.260299625,0.460674157,"Eugenio Suarez",12552,553993
2019,"Tim Beckham","SEA",328,15,47,0.236842105,0.460526315,"Tim Beckham",7949,542921
2021,"Harrison Bader","STL",401,16,50,0.267029972,0.460490463,"Harrison Bader",18030,664056
2017,"Eduardo Núñez","- - -",491,12,58,0.312633832,0.460385438,"Eduardo Nunez",6848,456488
2021,"Jake Cronenworth","SDP",643,21,71,0.266313932,0.46031746,"Jake Cronenworth",18036,630105
2019,"Omar Narváez","SEA",482,22,55,0.278037383,0.460280373,"Omar Narvaez",13338,553882
2019,"Renato Núñez","BAL",599,31,90,0.243992606,0.46025878,"Renato Nunez",14503,600524
2015,"Adam Lind","MIL",572,20,87,0.27689243,0.460159362,"Adam Lind",8027,452252
2018,"Kris Bryant","CHC",457,13,52,0.272493573,0.460154241,"Kris Bryant",15429,592178
2019,"James McCann","CHW",476,18,60,0.273348519,0.460136674,"James McCann",12859,543510
2023,"Harold Ramírez","TBR",434,12,68,0.3125,0.46,"Harold Ramirez",14387,623912
2017,"Whit Merrifield","KCR",630,19,78,0.287904599,0.459965928,"Whit Merrifield",11281,593160
2023,"Bryan Reynolds","PIT",640,24,84,0.263066202,0.459930313,"Bryan Reynolds",19326,668804
2018,"Starling Marte","PIT",606,20,72,0.277280858,0.459749552,"Starling Marte",9241,516782
2015,"John Jaso","TBR",216,5,22,0.286486486,0.459459459,"John Jaso",5887,444379
2016,"Chris Davis","BAL",665,38,84,0.220848056,0.459363957,"Chris Davis",9272,448801
2021,"Randy Arozarena","TBR",604,20,69,0.274102079,0.459357277,"Randy Arozarena",19290,668227
2015,"Jose Altuve","HOU",689,15,66,0.313479623,0.459247648,"Jose Altuve",5417,514888
2015,"Eddie Rosario","MIN",474,13,50,0.267108167,0.459161147,"Eddie Rosario",12155,592696
2015,"Eric Hosmer","KCR",667,18,93,0.297161936,0.459098497,"Eric Hosmer",3516,543333
2018,"Mike Moustakas","- - -",635,28,95,0.2513089,0.458987783,"Mike Moustakas",4892,519058
2023,"Nolan Arenado","STL",612,26,93,0.266071428,0.458928571,"Nolan Arenado",9777,571448
2016,"Luis Valbuena","HOU",342,13,40,0.260273972,0.458904109,"Luis Valbuena",4969,472528
2017,"Yasmani Grandal","LAD",482,22,58,0.246575342,0.458904109,"Yasmani Grandal",11368,518735
2017,"Steven Souza Jr.","TBR",617,30,78,0.239005736,0.458891013,"Steven Souza Jr.",5667,519306
2021,"Jesús Aguilar","MIA",510,22,93,0.260579064,0.458797327,"Jesus Aguilar",11342,542583
2015,"Zack Cozart","CIN",214,9,28,0.257731958,0.458762886,"Zack Cozart",2616,446359
2015,"George Springer","HOU",451,16,41,0.275773195,0.458762886,"George Springer",12856,543807
2020,"Christian Walker","ARI",243,7,34,0.270642201,0.458715596,"Christian Walker",13419,572233
2021,"Eric Haase","DET",381,22,61,0.23076923,0.458689458,"Eric Haase",14111,606992
2021,"Jonathan India","CIN",631,21,69,0.268796992,0.458646616,"Jonathan India",21523,663697
2017,"Mookie Betts","BOS",712,24,102,0.26433121,0.458598726,"Mookie Betts",13611,605141
2023,"Edouard Julien","MIN",408,16,37,0.263313609,0.458579881,"Edouard Julien",27534,666397
2022,"Eugenio Suárez","SEA",629,31,87,0.23572744,0.458563535,"Eugenio Suarez",12552,553993
2019,"Ji Man Choi","TBR",487,19,63,0.260975609,0.458536585,"Ji Man Choi",5452,596847
2023,"Trea Turner","PHI",691,26,76,0.266040688,0.458528951,"Trea Turner",16252,607208
2023,"Randal Grichuk","- - -",471,16,44,0.267281105,0.458525345,"Randal Grichuk",10243,545341
2022,"Willy Adames","MIL",617,31,98,0.238010657,0.458259325,"Willy Adames",15986,642715
2021,"Starling Marte","- - -",526,12,55,0.310492505,0.458244111,"Starling Marte",9241,516782
2015,"Russell Martin","TOR",507,23,77,0.240362811,0.458049886,"Russell Martin",4616,431145
2018,"Jurickson Profar","TEX",594,20,77,0.253816793,0.458015267,"Jurickson Profar",10815,595777
2023,"Brandon Marsh","PHI",472,12,60,0.277227722,0.457920792,"Brandon Marsh",20202,669016
2018,"Asdrúbal Cabrera","- - -",592,23,75,0.261904761,0.457875457,"Asdrubal Cabrera",4962,452678
2019,"Matt Beaty","LAD",268,9,46,0.26506024,0.457831325,"Matt Beaty",17710,607461
2021,"Joey Gallo","- - -",616,38,77,0.19879518,0.457831325,"Joey Gallo",14128,608336
2016,"Brandon Drury","ARI",499,16,53,0.281995661,0.45770065,"Brandon Drury",11615,592273
2019,"Yasiel Puig","- - -",611,24,84,0.266666666,0.457657657,"Yasiel Puig",14225,624577
2021,"Austin Meadows","TBR",591,27,106,0.233590733,0.457528957,"Austin Meadows",15672,640457
2017,"Chad Pinder","OAK",309,15,42,0.237588652,0.457446808,"Chad Pinder",15191,640461
2020,"Jesús Aguilar","MIA",216,8,34,0.276595744,0.457446808,"Jesus Aguilar",11342,542583
2018,"Justin Smoak","TOR",594,25,77,0.241584158,0.457425742,"Justin Smoak",9054,475253
2023,"William Contreras","MIL",611,17,78,0.288888888,0.457407407,"William Contreras",20503,661388
2020,"Maikel Franco","KCR",243,8,38,0.278026905,0.457399103,"Maikel Franco",12179,596748
2023,"Jazz Chisholm Jr.","MIA",383,19,51,0.25,0.457386363,"Jazz Chisholm Jr.",20454,665862
2019,"Randal Grichuk","TOR",628,31,80,0.232081911,0.457337883,"Randal Grichuk",10243,545341
2021,"Mike Yastrzemski","SFG",532,25,71,0.224358974,0.457264957,"Mike Yastrzemski",14854,573262
2023,"Stone Garrett","WSN",271,9,40,0.269230769,0.457264957,"Stone Garrett",19273,656448
2017,"Trevor Story","COL",555,24,82,0.238568588,0.457256461,"Trevor Story",12564,596115
2019,"Eric Sogard","- - -",442,13,40,0.29040404,0.457070707,"Eric Sogard",7927,519299
2016,"Stephen Piscotty","STL",649,22,85,0.273195876,0.457044673,"Stephen Piscotty",13367,572039
2016,"Albert Pujols","LAA",650,31,119,0.268128161,0.456998313,"Albert Pujols",1177,405395
2018,"José Martínez","STL",590,17,83,0.305243445,0.456928838,"Jose Martinez",7996,500874
2015,"Curtis Granderson","NYM",682,26,70,0.258620689,0.456896551,"Curtis Granderson",4747,434158
2017,"Mikie Mahtook","DET",379,12,38,0.275862068,0.456896551,"Mikie Mahtook",13130,543484
2018,"Johan Camargo","ATL",524,19,76,0.271551724,0.456896551,"Johan Camargo",14950,622666
2021,"Tyrone Taylor","MIL",271,12,43,0.24691358,0.456790123,"Tyrone Taylor",13675,621438
2016,"Jonathan Villar","MIL",679,19,63,0.285229202,0.456706281,"Jonathan Villar",10071,542340
2017,"Evan Gattis","HOU",325,12,55,0.263333333,0.456666666,"Evan Gattis",11003,594828
2019,"Andrew McCutchen","PHI",262,10,29,0.255707762,0.456621004,"Andrew McCutchen",9847,457705
2016,"George Springer","HOU",744,29,82,0.260869565,0.456521739,"George Springer",12856,543807
2017,"Ozzie Albies","ATL",244,6,28,0.285714285,0.456221198,"Ozzie Albies",16556,645277
2022,"Adolis García","TEX",657,27,101,0.249586776,0.456198347,"Adolis Garcia",19287,666969
2023,"Cal Raleigh","SEA",569,30,75,0.23196881,0.45614035,"Cal Raleigh",21534,663728
2016,"Starling Marte","PIT",529,9,46,0.310838445,0.456032719,"Starling Marte",9241,516782
2022,"Xander Bogaerts","BOS",631,15,73,0.307001795,0.456014362,"Xander Bogaerts",12161,593428
2015,"Derek Dietrich","MIA",289,10,24,0.256,0.456,"Derek Dietrich",10542,518618
2018,"Adam Frazier","PIT",352,10,35,0.276729559,0.455974842,"Adam Frazier",15223,624428
2019,"José Osuna","PIT",285,10,36,0.264367816,0.455938697,"Jose Osuna",12937,591741
2019,"Donovan Solano","SFG",228,4,23,0.330232558,0.455813953,"Donovan Solano",8623,456781
2020,"Trent Grisham","SDP",252,10,26,0.25116279,0.455813953,"Trent Grisham",18564,663757
2015,"Joe Panik","SFG",432,8,37,0.311518324,0.455497382,"Joe Panik",11936,605412
2020,"Cody Bellinger","LAD",243,12,30,0.239436619,0.455399061,"Cody Bellinger",15998,641355
2017,"Carlos Santana","CLE",667,23,79,0.259194395,0.455341506,"Carlos Santana",2396,467793
2022,"Corey Seager","TEX",663,33,83,0.244519392,0.455311973,"Corey Seager",13624,608369
2023,"Justin Turner","BOS",626,23,96,0.275985663,0.455197132,"Justin Turner",5235,457759
2016,"Melky Cabrera","CHW",646,14,86,0.296108291,0.455160744,"Melky Cabrera",4022,466320
2019,"Shin-Soo Choo","TEX",660,24,61,0.264653641,0.454706927,"Shin-Soo Choo",3174,425783
2022,"Anthony Santander","BAL",647,33,89,0.240418118,0.454703832,"Anthony Santander",14551,623993
2016,"Alex Dickerson","SDP",285,10,37,0.256916996,0.454545454,"Alex Dickerson",12649,543105
2019,"Jake Cave","MIN",228,8,25,0.257575757,0.454545454,"Jake Cave",14477,595909
2021,"Adolis García","TEX",622,31,90,0.242685025,0.454388984,"Adolis Garcia",19287,666969
2019,"Rhys Hoskins","PHI",705,29,85,0.226315789,0.454385964,"Rhys Hoskins",16472,656555
